video_category_name,video_count,avg_views,avg_engagement,avg_days_to_trend
Music,58413,3235165.4476058413,4.640044115453834,5.187372673891086
Science & Technology,3835,2308156.56714472,0.03719546060492869,4.876923076923077
Film & Animation,3329,2005669.8185641335,0.027895631724826283,5.092520276359267
Nonprofits & Activism,68,1819607.4117647058,0.03976581396636169,5.044117647058823
Entertainment,64925,1515310.6868694648,0.039084539088816386,4.703273007316134
Gaming,40437,1061033.5809283578,0.029603093109246838,4.708929940401118
People & Blogs,32594,841569.6723630116,0.042106479880131886,4.900349757624102
Comedy,10380,826494.7863198458,0.043112286193731614,4.869749518304432
Sports,40716,793592.8059485215,0.028122870140574803,4.2722025739267115
Education,3150,699234.8831746032,0.03828292720279014,4.6946031746031744
News & Politics,4588,688192.4522667829,0.017394128237144642,4.838491717523976
Howto & Style,2026,665202.9279368214,154.18881456038744,5.17324777887463
Pets & Animals,323,489568.52012383903,0.044093999348137666,4.501547987616099
Travel & Events,1403,425256.8823948681,0.042790146688969015,5.100498930862438
Autos & Vehicles,2603,388532.69381482905,0.04298560946055336,5.1344602381867075
,63925,0.0,0.0,
