publish_hour,video_count,avg_views,avg_engagement,avg_days_to_trend
9.0,3486,9195995.368617326,0.03491951100013175,4.656339644291451
4.0,6236,5917534.06863374,0.033287305374227735,4.375721616420782
7.0,1040,5014145.794230769,0.023879161334873757,4.390384615384615
5.0,2625,4946343.323809524,4.549018028295956,4.417142857142857
8.0,3319,3957978.1184091596,0.01517314995228518,4.401325700512203
17.0,8123,2643852.149082851,0.0350228122256464,4.994090853133079
3.0,6072,2555100.8267457183,0.02950115226987339,4.092720685111989
6.0,873,2370200.3024054985,0.02485907212036115,4.360824742268041
16.0,13304,1967091.4976698738,0.03516047284772845,4.817648827420324
0.0,12101,1657257.4613668292,0.03320963208416692,4.280885877200231
10.0,2511,1513059.84348865,0.029028747520845614,4.908004778972521
18.0,6319,1435105.721316664,0.03387108058446489,5.123912011394208
19.0,6966,1387649.4237726098,0.03391984338358742,5.047372954349698
15.0,45247,1350884.2560832764,0.03751167797470556,4.713992087873229
11.0,3203,1238418.9625351233,0.03484161055578259,4.463940056197315
14.0,30188,1194528.2484099641,0.03282456209090126,4.855074864184444
12.0,7070,1157526.6818953324,0.03528756519904968,4.449222065063649
2.0,5743,1130973.9616924953,0.026960448874947186,3.9082361135295143
1.0,5964,1102108.9049295774,52.39546674549922,3.9968142186452047
20.0,10693,1088206.2507247732,24.098785480180535,5.242214532871972
13.0,21180,1075556.9133144475,0.03137362041949122,4.413786591123702
23.0,15393,940124.1238225168,0.03848334770349542,5.211524719028129
21.0,27119,873173.8657398871,0.034179358403817695,5.21969836645894
22.0,24015,817274.484280658,0.040107936517249046,5.245221736414741
,63925,0.0,0.0,
